Original POI ID,Original Avg Pre Pre Open,Original Avg Pre Open,Original Avg Post Open,POI ID,Zip_Code,Group,Station,Open Date,City,OriginalNewCity,Similar New City,Avg Pre Pre Open,Avg Pre Open,Avg Post Open,Original Station Name,Original City,6 Months Before Original POI Open Date,3 Months Before Original POI Open Date,3 Months After Original POI Open Date,size_group,DiD1,DiD2,DiD,DiD3,DiD4,DiD5,difference,orig_latitude,orig_longitude,sim_latitude,sim_longitude,ev_latitude,ev_longitude,ev_level2,ev_dcfc,ev_type,Original POI Open Date,Original POI Open Year,Distance(m),distance_group
venue:63c643530ad0695476062f62,84.62921348,88.52173913,73.94565217,venue:651d00a29165e76abcd98b37,11101,Dining,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,43.91011236,53.09782609,66.95652174,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,50-100,-14.57608696,13.85869565,-28.43478261,3.892525647,9.187713727,-5.29518808,5.29518808,40.7646904,-73.9172287,40.74465561,-73.9536972,40.765233,-73.918436,2,0,level2,8/16/2022,2022,118.4134196547482,100-200m
venue:a58ffe73234b893073665433,39.11235955,43.16304348,44.18478261,venue:65685afeedc4ff36069bb7dd,11101,Dining,KOEPPEL HYUNDAI CPE250 1,6/1/2023,Queens,Queens,Queens,15.1011236,15.25,14.77173913,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,0-50,1.02173913,-0.47826087,1.5,4.050683928,0.148876404,3.901807523,3.901807523,40.76774979,-73.92207336,40.75470352,-73.91629791,40.765233,-73.918436,2,0,level2,8/16/2022,2022,415.24514926072465,300-400m
venue:640997ced9489549fbb730c3,83.21348315,118.5108696,151.5217391,venue:3f5e2a2359c65dd225c74b02,11101,Dining,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,103.9662921,147.7608696,122.7717391,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,100-200,33.01086957,-24.98913043,58.0,35.29738642,43.79457743,-8.497191011,8.497191011,40.76298904,-73.9210968,40.74356461,-73.95407104,40.765233,-73.918436,2,0,level2,8/16/2022,2022,335.5135246707321,300-400m
venue:6a6c0040ee0695ffa8674ab0,133.741573,134.6086957,81.0326087,venue:8edd5c5e52815dd7c59f3061,11101,Dining,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,181.3146067,184.5652174,175.1086957,30-10 35th Street,Queens,2/16/2022,5/16/2022,11/16/2022,100-200,-53.57608696,-9.456521739,-44.11956522,0.867122618,3.25061065,-2.383488031,2.383488031,40.76475143,-73.9173584,40.74535751,-73.95345306,40.765233,-73.918436,2,0,level2,8/16/2022,2022,105.53782580279552,100-200m
venue:e5c612241c373865e23838cc,241.7865169,277.1847826,253.2173913,venue:7a4d601d1c3ce4a92c9ce24c,11101,Dining,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,191.9101124,233.7065217,264.673913,81-09 41st Ave,Queens,2/18/2022,5/18/2022,11/18/2022,200-500,-23.9673913,30.9673913,-54.93478261,35.39826575,41.79640938,-6.398143625,6.398143625,40.74372482,-73.88786316,40.74455261,-73.95374298,40.745853,-73.884134,2,0,level2,8/18/2022,2022,393.76786387075504,300-400m
venue:c2d2579616c536ed2f12ba15,212.8651685,215.6195652,200.0543478,venue:61a8ffe82812db01698bd665,11362,Dining,DEEPDALE MANAGEMENT,8/15/2023,Queens,Queens,Queens,349.3932584,358.3478261,356.9456522,81-09 41st Ave,Queens,2/18/2022,5/18/2022,11/18/2022,200-500,-15.56521739,-1.402173913,-14.16304348,2.754396678,8.95456766,-6.200170982,6.200170982,40.74747849,-73.88659668,40.76045609,-73.73098755,40.745853,-73.884134,2,0,level2,8/18/2022,2022,275.39623206939507,200-300m
venue:b27818ccd25ffedec7cd0315,51.06741573,49.14130435,51.43478261,venue:63b53750dd114806ddea8b9d,11101,Dining,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,13.92134831,11.11956522,15.47826087,81-09 41st Ave,Queens,2/18/2022,5/18/2022,11/18/2022,0-50,2.293478261,4.358695652,-2.065217391,-1.926111383,-2.801783097,0.875671715,0.875671715,40.74674606,-73.88269043,40.7431488,-73.95418549,40.745853,-73.884134,2,0,level2,8/18/2022,2022,157.1615171166359,100-200m
venue:be720f86acf2ca01ee0e68fa,23.68539326,24.77173913,30.55434783,venue:65685afeedc4ff36069bb7dd,11101,Dining,KOEPPEL HYUNDAI CPE250 1,6/1/2023,Queens,Queens,Queens,15.1011236,15.25,15.2173913,81-09 41st Ave,Queens,2/18/2022,5/18/2022,11/18/2022,0-50,5.782608696,-0.032608696,5.815217391,1.086345872,0.148876404,0.937469468,0.937469468,40.74769592,-73.88663483,40.75470352,-73.91629791,40.745853,-73.884134,2,0,level2,8/18/2022,2022,294.0978309121415,200-300m
venue:d653e700a72b413498d3cc4d,220.0333333,205.75,311.4021739,venue:7401c85203653c2268b4f4bc,11101,Dining,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,511.9888889,474.8478261,387.326087,KOEPPEL HYUNDAI CPE250 2,Queens,12/1/2022,3/1/2023,9/1/2023,200-500,105.6521739,-87.52173913,193.173913,-14.28333333,-37.1410628,22.85772947,22.85772947,40.75302505,-73.9225235,40.74417496,-73.95336914,40.754044,-73.919245,0,1,dcfc,6/1/2023,2023,299.0925751834053,200-300m
venue:66a4aa223a84d62b79517f58,99.5,141.5108696,90.34782609,venue:3f5e2a2359c65dd225c74b02,11101,Dining,CITYLIGHTS 5TH FLOOR 1,9/14/2023,Queens,Queens,Queens,120.9,163.8478261,181.0217391,KOEPPEL HYUNDAI CPE250 2,Queens,12/1/2022,3/1/2023,9/1/2023,100-200,-51.16304348,17.17391304,-68.33695652,42.01086957,42.94782609,-0.936956522,0.936956522,40.75619125,-73.91940308,40.74356461,-73.95407104,40.754044,-73.919245,0,1,dcfc,6/1/2023,2023,238.82371879351456,200-300m
